year;month;income;expenses
2016;3;1722,07;1696,2
2016;4;1616,43;334,32
2016;5;1933,5;1084,65
2016;6;16065,37;9043,84
2016;7;2686,33;10920,01
2016;8;2084,09;2628,61
2016;9;1622,59;1415,25
2016;10;1612,81;2694,46
2016;11;1612,81;2035,14
2016;12;4034,68;3417,47
2017;1;1591,68;2096,44
2017;2;2365,6;1926,84
2017;3;3982,11;2256,29
2017;4;1998,34;2187,85
2017;5;2615,38;2237,39
2017;6;3757,68;2038,22
2017;7;8763,85;1788,19
2017;8;1175,12;1932,29
2017;9;4846,58;1877,43
2017;10;3602,27;6117,54
2017;11;2372,71;2067,52
2017;12;1000;2084,92
2018;1;2103,44;1714,97
2018;2;952,8;1614,38
2018;3;2452,8;1541,45
2018;4;1652,86;1126,46
2018;5;4948,8;1125,9
2018;6;7784,66;1249,88
2018;7;1847,67;7511,13
2018;8;1952,8;1268,66
2018;9;379,86;1201,78
2018;10;414,11;1061,12
2018;11;1687,05;1190,94
2018;12;2821,3;1179,93
2019;1;2530,07;1179,5
2019;2;4783,54;1078,67
2019;3;5531,54;1204,38
2019;4;3003,84;1197,17
2019;5;3087,26;1188,16
2019;6;2866,01;1280,54
2019;7;1717;1270,7
2019;8;545;1692,59
2019;9;430,27;1543,31
2019;10;450,29;1335,95
2019;11;1294,34;1599
2019;12;3882;1306,81
2020;1;430,27;1244,19
2020;2;186,45;1075,4
2020;3;1675,84;1248,69

